timestamp_utc,tripId,codTren,codLinea,retrasoMin,codEstAct,codEstSig,horaLlegadaSigEst,codEstDest,codEstOrig,porAvanc,latitud,longitud,nucleo,accesible,via,nextVia
2026-06-24T00:02:22Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T00:06:51Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T00:11:59Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T00:17:05Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T00:21:54Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T00:27:04Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T00:32:12Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T00:36:51Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T00:41:55Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T00:46:54Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T00:51:55Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T00:56:50Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T01:02:12Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T01:06:51Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T01:11:53Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T01:17:06Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T01:22:10Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T01:27:01Z,1072X20941C5,20941,C5,0,35606,35607,2026-06-25T01:00:00,35607,35002,S,40.32875,-3.8636916,10,False,2,2
2026-06-24T01:32:04Z,1072X21509C2,21509,C2,0,70200,70105,2026-06-24T06:33:00,10203,70200,E,40.644257,-3.1823237,10,True,1,1
2026-06-24T01:32:04Z,1072X21511C2,21511,C2,0,70200,70105,2026-06-24T06:50:00,17000,70200,E,40.644257,-3.1823237,10,False,1,1
2026-06-24T01:36:49Z,1072X21509C2,21509,C2,0,70200,70105,2026-06-24T06:33:00,10203,70200,E,40.644257,-3.1823237,10,True,1,1
2026-06-24T01:36:49Z,1072X21511C2,21511,C2,0,70200,70105,2026-06-24T06:50:00,17000,70200,E,40.644257,-3.1823237,10,False,1,1
2026-06-24T01:41:54Z,1072X21509C2,21509,C2,0,70200,70105,2026-06-24T06:33:00,10203,70200,E,40.644257,-3.1823237,10,True,1,1
2026-06-24T01:41:54Z,1072X21511C2,21511,C2,0,70200,70105,2026-06-24T06:50:00,17000,70200,E,40.644257,-3.1823237,10,False,1,1
2026-06-24T01:46:55Z,1072X21509C2,21509,C2,0,70200,70105,2026-06-24T06:33:00,10203,70200,E,40.644257,-3.1823237,10,True,1,1
2026-06-24T01:46:55Z,1072X21511C2,21511,C2,0,70200,70105,2026-06-24T06:50:00,17000,70200,E,40.644257,-3.1823237,10,False,1,1
2026-06-24T01:52:04Z,1072X21509C2,21509,C2,0,70200,70105,2026-06-24T06:33:00,10203,70200,E,40.644257,-3.1823237,10,True,1,1
2026-06-24T01:52:04Z,1072X21511C2,21511,C2,0,70200,70105,2026-06-24T06:50:00,17000,70200,E,40.644257,-3.1823237,10,False,1,1
2026-06-24T01:56:56Z,1072X20203C4a,20203,C4a,0,18000,18101,2026-06-24T04:57:00,19003,18000,E,40.40654,-3.6895106,10,True,6,1
2026-06-24T02:02:14Z,1072X19502C5,19502,C5,0,35607,35606,2026-06-24T05:01:00,35012,35607,E,40.330883,-3.8823783,10,False,2,1
2026-06-24T02:02:14Z,1072X21500C2,21500,C2,0,17000,18002,2026-06-24T05:04:00,70200,17000,E,40.47097,-3.68245,10,False,12,2
2026-06-24T02:02:14Z,1072X21601C2,21601,C2,0,70200,70105,2026-06-24T05:05:00,12006,70200,E,40.644257,-3.1823237,10,False,1,1
2026-06-24T02:02:14Z,1072X20203C4a,20203,C4a,0,18000,18101,2026-06-24T04:57:00,19003,18000,E,40.40654,-3.6895106,10,True,6,1
2026-06-24T02:07:06Z,1072X19502C5,19502,C5,0,35607,35606,2026-06-24T05:01:00,35012,35607,E,40.330883,-3.8823783,10,False,2,1
2026-06-24T02:07:06Z,1072X21500C2,21500,C2,0,17000,18002,2026-06-24T05:04:00,70200,17000,E,40.47097,-3.68245,10,False,12,2
2026-06-24T02:07:06Z,1072X21601C2,21601,C2,0,70200,70105,2026-06-24T05:05:00,12006,70200,E,40.644257,-3.1823237,10,False,1,1
