timestamp_utc,tripId,codTren,codLinea,retrasoMin,codEstAct,codEstSig,horaLlegadaSigEst,codEstDest,codEstOrig,porAvanc,latitud,longitud,nucleo,accesible,via,nextVia
2026-06-09T00:01:54Z,1057M21503C2,21503,C2,-233,70200,70105,2026-06-09T01:50:00,17000,70200,E,40.644257,-3.1823237,10,False,1,1
2026-06-09T00:06:28Z,1057M20600C8b,20600,C8b,-234,12006,12005,2026-06-09T02:09:00,70200,12006,E,40.737614,-4.0662985,10,False,2,1
2026-06-09T00:06:28Z,1057M20604C8b,20604,C8b,-295,12006,12005,2026-06-09T02:08:00,70200,12006,E,40.737614,-4.0662985,10,False,2,1
2026-06-09T00:06:28Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:06:28Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:11:33Z,1057M20604C8b,20604,C8b,-295,12006,12005,2026-06-09T02:08:00,70200,12006,E,40.737614,-4.0662985,10,False,2,1
2026-06-09T00:11:33Z,1057M20600C8b,20600,C8b,-234,12006,12005,2026-06-09T02:09:00,70200,12006,E,40.737614,-4.0662985,10,False,2,1
2026-06-09T00:11:33Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:11:33Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:16:34Z,1057M20600C8b,20600,C8b,-234,12006,12005,2026-06-09T02:09:00,70200,12006,E,40.737614,-4.0662985,10,False,2,1
2026-06-09T00:16:34Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:16:34Z,1057M20604C8b,20604,C8b,-295,12006,12005,2026-06-09T02:08:00,70200,12006,E,40.737614,-4.0662985,10,False,2,1
2026-06-09T00:16:34Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:21:42Z,1057M20600C8b,20600,C8b,-234,12006,12005,2026-06-09T02:09:00,70200,12006,E,40.737614,-4.0662985,10,False,2,1
2026-06-09T00:21:42Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:21:42Z,1057M20604C8b,20604,C8b,-295,12006,12005,2026-06-09T02:08:00,70200,12006,E,40.737614,-4.0662985,10,False,2,1
2026-06-09T00:21:42Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:26:29Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:26:29Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:31:49Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:31:49Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:36:26Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:36:26Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:41:50Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:41:50Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:46:47Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:46:47Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:51:44Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:51:44Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:56:27Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T00:56:27Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:02:04Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:02:04Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:06:41Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:06:41Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:11:34Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:11:34Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:16:32Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:16:32Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:21:31Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:21:31Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:26:28Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:26:28Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:31:48Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:31:48Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:36:27Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:36:27Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:41:33Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:41:33Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:46:41Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:46:41Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:51:30Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:51:30Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:56:25Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T01:56:25Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T02:01:49Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T02:01:49Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T02:06:27Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T02:06:27Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T02:11:32Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T02:11:32Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T02:16:46Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T02:16:46Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T02:21:32Z,1057M21106C10,21106,C10,-279,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T02:21:32Z,1057M21100C10,21100,C10,-205,10200,10104,2026-06-09T02:09:00,17000,10200,E,40.62599,-4.0081153,10,False,4,2
2026-06-09T02:26:29Z,1057M20203C4a,20203,C4a,0,18000,18101,2026-06-09T04:57:00,19003,18000,E,40.40654,-3.6895106,10,False,6,1
2026-06-09T02:31:52Z,1057M19502C5,19502,C5,0,35607,35606,2026-06-09T05:01:00,35012,35607,E,40.330883,-3.8823783,10,False,2,1
2026-06-09T02:31:52Z,1057M21601C2,21601,C2,0,70200,70105,2026-06-09T05:05:00,12006,70200,E,40.644257,-3.1823237,10,False,1,1
2026-06-09T02:31:52Z,1057M20203C4a,20203,C4a,0,18000,18101,2026-06-09T04:57:00,19003,18000,E,40.40654,-3.6895106,10,False,6,1
2026-06-09T02:31:52Z,1057M21500C2,21500,C2,0,17000,18002,2026-06-09T05:04:00,70200,17000,E,40.47097,-3.68245,10,False,12,2
2026-06-09T02:36:28Z,5157M77502R4,77502,R4,6,78700,78710,2026-06-09T04:38:36,71600,78700,21.0,41.569416,2.0196738,50,False,,2
2026-06-09T02:36:28Z,1057M21703C2,21703,C2,0,70103,70111,2026-06-09T05:08:00,10203,70103,E,40.489193,-3.3662832,10,False,5,1
